,level_0,index,name,gender,matrices,race,mat_rank
0,0,2,Colleen,female,13.432250636190307,White,1.0
1,1,3,Annes,female,13.034916813202361,Asian,2.0
2,2,22,Khushi,female,8.403846102047346,Asian,3.0
3,3,21,Bri,female,8.306460397252138,Black or African American,4.0
4,4,19,Jewel,female,8.255382214481363,Black or African American,5.0
5,5,30,Shadaisia,female,5.391783912463171,Black or African American,6.0
6,6,32,Kellie,female,5.264060443171246,White,7.0
7,7,33,Shaniek,female,5.058683953488068,Black or African American,8.0
8,8,34,Tina,female,4.484631346861797,White,9.0
9,9,35,Lori,female,4.257895238356264,White,10.0
10,10,41,Giana,female,2.1969753802510152,White,11.0
11,11,44,Nansi,female,1.2963851641148818,Asian,12.0
12,0,2,Corey,male,14.246355572356347,White,1.0
13,1,3,Quinterius,male,13.348854948476301,Black or African American,2.0
14,2,22,Edosagbe,male,8.237711025915967,Black or African American,3.0
15,3,26,Juan,male,7.309401077733806,Hispanic,4.0
16,4,29,Eli,male,6.369079993872778,White,5.0
17,5,27,Drew,male,6.18177687315534,White,6.0
18,6,33,Brennan,male,5.271117055866746,White,7.0
19,7,32,Jamarii,male,5.089500187787722,Black or African American,8.0
20,8,30,Matthew,male,5.023511464200493,White,9.0
21,9,44,Myles,male,3.396624154630942,Black or African American,10.0
22,10,49,Masuf,male,1.290497277292625,Asian,11.0
23,11,50,Damian,male,0.29838941053129847,Black or African American,12.0
