,index,name,gender,matrices,race,mat_rank
0,0,Ankai,male,14.484248059641402,Asian,1.0
1,1,Sabrina,female,13.220535284898853,Asian,2.0
2,3,Annes,female,13.100880249678942,Asian,3.0
3,2,Maggie,female,13.066262786942273,Asian,4.0
4,4,Aalap,male,12.463633685124135,Asian,5.0
5,6,Chris,male,10.45268469483763,Asian,6.0
6,7,Anh,male,10.114148001287008,Asian,7.0
7,10,Jennifer,female,8.235214397425313,Asian,8.0
8,13,Tu,male,5.125489865142721,Asian,9.0
9,15,Richie,male,2.1794215745522,Asian,10.0
10,14,Emily,female,2.164052470714098,Asian,11.0
11,16,Roshni,female,1.420366706065968,Asian,12.0
