,index,name,gender,matrices,race,mat_rank
0,0,Yonifredy,male,15.409591438574923,Hispanic,1.0
1,1,Mary,female,11.189971883619979,Hispanic,2.0
2,2,Melissa,female,10.107210479729634,Hispanic,3.0
3,3,Alfredo,male,10.063045126326926,Hispanic,4.0
4,4,Maria,female,9.464651730726223,Hispanic,5.0
5,6,Juan,male,7.3849151630026135,Hispanic,6.0
6,8,Valeria,female,5.451229801918477,Hispanic,7.0
7,9,Sergio,male,5.235463991122774,Hispanic,8.0
8,7,Katherine,female,5.16398385931952,Hispanic,9.0
9,10,Josue,male,4.188369216585801,Hispanic,10.0
10,12,Cristian,male,3.0920248081189885,Hispanic,11.0
11,11,Carlos,male,3.0438292580770594,Hispanic,12.0
