,index,name,gender,realeffort,race,re_rank
0,1,Sabrina,female,11.48653564432607,Asian,1.0
1,4,Aalap,male,10.248354881996612,Asian,2.0
2,2,Maggie,female,8.492205241494421,Asian,3.0
3,10,Jennifer,female,8.401198895041599,Asian,4.0
4,14,Emily,female,7.249815398081724,Asian,5.0
5,13,Tu,male,6.469812447417572,Asian,6.0
6,16,Roshni,female,6.296457296387612,Asian,7.0
7,0,Ankai,male,5.364367717190196,Asian,8.0
8,3,Annes,female,5.087757570288555,Asian,9.0
9,6,Chris,male,4.423663156150236,Asian,10.0
10,7,Anh,male,2.335425142490707,Asian,11.0
11,15,Richie,male,0.24212079339804582,Asian,12.0
